timestamp,target,draft,backend,threads,draft_max,n_predict_req,prompt_idx,n_drafted,n_accept,accept_pct,decoded_tokens,decoded_seconds,decoded_tok_per_sec,encoded_tok_per_sec,wallclock_s
2026-04-21T21:36:39.996344-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,0,152,126,82.895,202,10.928,18.484,0.0,11.09
2026-04-21T21:36:50.699803-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,1,144,130,90.278,202,10.593,19.069,0.0,10.7
2026-04-21T21:37:01.812515-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,2,152,124,81.579,200,11.008,18.169,0.0,11.11
2026-04-21T21:37:13.279763-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,3,160,122,76.25,202,11.387,17.74,0.0,11.47
2026-04-21T21:37:24.646850-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,4,158,122,77.215,201,11.265,17.843,0.0,11.37
2026-04-21T21:37:35.590857-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,5,152,124,81.579,200,10.857,18.421,0.0,10.94
2026-04-21T21:37:47.656447-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,6,162,121,74.691,202,11.937,16.921,0.0,12.07
2026-04-21T21:37:58.633108-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,7,148,128,86.486,202,10.843,18.63,0.0,10.98
2026-04-21T21:38:09.484150-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,8,142,130,91.549,201,10.752,18.695,0.0,10.85
2026-04-21T21:38:21.204038-07:00,Qwen3-8B-Q4_K_M.gguf,qwen3_0_6b_draft_v81_ctx512.pathbmask.bin,npu-draft+cpu-target,18,2,200,9,158,121,76.582,200,11.605,17.233,0.0,11.72
